
woocommerce | %s page | %s पेज 
woocommerce | Username: %s | वापरकर्ता चे नाव %s
woocommerce | Username or email address | वापरकर्त्याचे नाव किंवा ई-मेल अॅड्रेस
woocommerce | Approve | मंजूर
woocommerce | Order | ऑर्डर
woocommerce | Random | अविशिष्ट
woocommerce | Show hierarchy | अनुक्रम दाखवा
woocommerce | Filter | गाळणे
woocommerce | OR | किंवा
woocommerce | Active | सक्रिय
woocommerce | Select | निवडा
woocommerce | Password reset is not allowed for this user | ह्या यूजर ला पासवर्ड बदलण्याची परवानगी नाहीय
woocommerce | Log in | लॉग ईन
woocommerce | Enable | सक्षम
woocommerce | Advanced options | प्रगत पर्याय
woocommerce | Reset password | पासवर्ड रीसेट करा
woocommerce | Subject | विषय
woocommerce | Completed | पूर्ण झाले
woocommerce | Edit %s | संपादित करा %s
woocommerce | Tags | टॅगस्
woocommerce | Categories | कॅटेगरी
woocommerce | Email Address | ई-मेल अॅड्रेस
woocommerce | Author: %s | लेखकः  %s
woocommerce | Dismiss this notice. | ही सूचना घालवा.
woocommerce | No route was found matching the URL and request method | यूआरएल आणि विनंती पद्धतीला मिळताजुळता रूट आढळला नाही
woocommerce | The handler for the route is invalid | रूटसाठी हँडलर अवैध आहे
woocommerce | Custom: | सानुकूल:
woocommerce | Save changes | बदल जतन करा
woocommerce | Theme | थीम
woocommerce | Language | भाषा
woocommerce | Site URL | साइट युआरअल
woocommerce | Custom | सानुकूल
woocommerce | ID | आयडी
woocommerce | Average rating | सरासरी रेटिंग
woocommerce | Background color | पार्श्वभूमीचा रंग
woocommerce | Header image | हेडर इमेज
woocommerce | Lost password | हरवलेलं पासवर्ड
woocommerce | Parent | पॅरेंट
woocommerce | All | सर्व
woocommerce | None | काहीही नाही
woocommerce | Show | दाखवा 
woocommerce | Year | वर्ष
woocommerce | Choose file | फाईलची निवड करा
woocommerce | Add new | नवीन लिंक
woocommerce | Optional | पर्यायी
woocommerce | Save | जतन करा
woocommerce | Add to gallery | गॅलरीत जोडा
woocommerce | Current page | सध्याचे पेज
woocommerce | %s item | %s आयटम
woocommerce | Menu order | मेनू क्रम
woocommerce | None | काहीही नाही
woocommerce | Never | कधीही नाही
woocommerce | File URL | फाईल युआरएल
woocommerce | Add | जोडा
woocommerce | by %s | %s द्वारे
woocommerce | Upload file and import | फाईल अपलोड आणि आयात करा
woocommerce | Maximum size: %s | कमाल आकार: %s
woocommerce | Before you can upload your import file, you will need to fix the following error: | आपण आपल्या आयात फाईल अपलोड करण्यापूर्वी, आपणांस खालील त्रुटी निश्चित करणे आवश्यक आहे:
woocommerce | Remove image | इमेज काढा
woocommerce | Thumbnail | थम्बनेल
woocommerce | Allow | अनुमती द्या
woocommerce | m | सो 
woocommerce | View | पहा
woocommerce | Delete permanently | कायमचे हटवा
woocommerce | Status | स्थिती
woocommerce | Rating | रेटिंग
woocommerce | Add to menu | मेनू जोडा
woocommerce | Delete | खोडून टाकणे
woocommerce | Attributes | विशेषता
woocommerce | Update | अपडेट
woocommerce | Type | टाईप
woocommerce | Slug | स्लग
woocommerce | Featured | वैशिष्ट्यपूर्ण
woocommerce | Puerto Rico | प्युर्तो रिको
woocommerce | Guam | गुअॅम
woocommerce | Madrid | मॅड्रीड
